"Title";"Winner";"NumberOfSolutions";"Cost";"PostTime";"SolutionTime";"Tags"
"Bountify | Fix simple count up script";"LayZee";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery "
"Bountify | Find me a copy of the most recent version of the software puppet geppetto for linux64";"";"1 Solution";"$5";"Posted over 2 years ago";"";""
"Bountify | Integrate annototor.js imgselect plugin in our pdf/html viewer (angular 4)";"Wuddrum";"3 Solutions";"$100";"Posted over 2 years ago";"over 2 years ago";"javascript angularjs angular4 "
"Bountify | Easy: parse Json into Excel table";"georgefountain";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"json excel vba parse "
"Bountify | Looking for an Example of a Parcel Application (Dependencies)";"kostasx";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"jQuery fabricjs bulma parcel "
"Bountify | Undo / Redo with 2 Canvases in Fabric.JS";"Wuddrum";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";"jQuery fabricjs "
"Bountify | Google Markers on Map Jump to other regions on Zoom out or Zoom In";"kostasx";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"html5 api html google-map javascript "
"Bountify | Scrape Earnings Conference Call Transcripts";"kostasx";"1 Solution";"$100";"Posted over 2 years ago";"over 2 years ago";"python Web scrapping scraping python3 "
"Bountify | Basic Move Support on RPCS3 ";"Zangetsu38";"1 Solution";"$100";"Posted over 2 years ago";"over 2 years ago";"rpcs3 "
"Bountify | Updating Macros in PowerPoint using VBA (Visual Basic for Applications)";"";"0 Solutions";"$25";"Posted over 2 years ago";"";"vba macros microsoft-office powerpoint "
"Bountify | Clipping Objects to/From Other Objects";"Wuddrum";"3 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery fabricjs "
"Bountify | Re: A stacked bipartite graph visualization and traversal UX";"Chlegou";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Estimate amount of work based on conversation/chat events - math algo";"Wuddrum";"5 Solutions";"$100";"Posted over 2 years ago";"over 2 years ago";"algorithm statistics algorithms "
"Bountify | Need Radius Search Implementation on Bubble.is";"CyteBode";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | jquery accordion, simple increment and decrement";"Chlegou";"3 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";"jQuery accordion "
"Bountify | Bleed Area Restricts Objects Moved by Mouse but Not Arrow Keys";"farolanf";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"jQuery fabricjs "
"Bountify | Take div with yellow background, change it to transparent, then do a CSS transition BACK to yellow.";"clkwan";"4 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Bot-reminder for messenger";"";"1 Solution";"$50";"Posted over 2 years ago";"";"java grpc bots "
"Bountify | jQuery to ES6 + Custom SVG download ";"Wuddrum";"2 Solutions";"$50";"Posted over 2 years ago";"over 2 years ago";"canvas svg DOM vanilla es6 javascript "
"Bountify | Passing Data to Google Line Graph";"SilverHood Apps";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"MySQL google-map javascript PHP json "
"Bountify | Javascript json to most compact QR code ";"Wuddrum";"5 Solutions";"$100";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Looking for a Small Text Scrubber";"farolanf";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript html jsfiddle "
"Bountify | Scrape Pages Using Python3/BeautifulSoup4";"CyteBode";"2 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"beautifulsoup python3 "
"Bountify | Change any selected object(s) to selected color with Spectrum Colorpicker";"Wuddrum";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Modal popup with Bulma CSS";"weslly";"1 Solution";"$1";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Toggling Font Float with Fabric.JS";"Wuddrum";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery fabricjs "
"Bountify | Ethical Unix OSX Lion Crack Keychain";"valerysntx";"1 Solution";"$50";"Posted over 2 years ago";"over 2 years ago";"unix iOS iPhone iPad XCode "
"Bountify | Refresh a Browser's Page on Click of Body/Any Part of Page";"jduplessis294";"3 Solutions";"$1";"Posted over 2 years ago";"over 2 years ago";"javascript html "
"Bountify | Tripit API aimed at Cytebode";"CyteBode";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Get air flights out of Tripit API";"CyteBode";"1 Solution";"$50";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Tripit Export Github API code not working";"ahmedengu";"2 Solutions";"$50";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Removing Object(s), Anything Selected, from FabricJS Canvas on Delete Key";"Wuddrum";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery canvas fabricjs "
"Bountify | Hash large CSV file in browser offline";"LayZee";"5 Solutions";"$100";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Using Stripe Input (Email Field) to Fill Another Input, Without Showing Said Input";"kostasx";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Looking for a Global Includes(?) Configuration Example Using Parcel.JS";"kostasx";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery parcel "
"Bountify | Encode CSV from Visual Basic as UTF-8 without BOM ";"Stefano Balzarotti";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Turn some code into a web app";"";"0 Solutions";"$50";"Posted over 2 years ago";"";""
"Bountify | Screens in React.JS + ES6";"";"0 Solutions";"$5";"Posted over 2 years ago";"";"react-js es6 "
"Bountify | Bash script to read from a Cassandra table and then output to csv";"CyteBode";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";"cassandra bash-script "
"Bountify | Web Scraper for business phone numbers";"";"2 Solutions";"$10";"Posted over 2 years ago";"";"Web scrapping "
"Bountify | Fix CSS issue to move image higher ";"jwetzell";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"css html5 "
"Bountify | Twitter Python App using Twarc and Tweepy ";"";"0 Solutions";"$50";"Posted over 2 years ago";"";"python3 twitter twarc tweepy "
"Bountify | Looking for help with Pods and Search and Filter (Keeping Search and Filter on pages)";"SilverHood Apps";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"wordpress search-and-filter pods "
"Bountify | javascript/regex to populate fields based on url - fancy";"";"4 Solutions";"$100";"Posted over 2 years ago";"";"javascript "
"Bountify | Updating a small script to work with the latest version of Fabric.JS (2.4.1)";"Wuddrum";"3 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"jQuery fabricjs "
"Bountify | Updating App's Version of Fabric.JS and New Tree Architecture (Bounty + $50)";"CyteBode";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"css html jQuery fabricjs "
"Bountify | Add Keyboard Shortcuts to Undo & Redo Functionality with Fabric.JS Canvas";"GabLeRoux";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery fabricjs "
"Bountify | Feature modification/enhancement of Lamassu Server/Machine code #2 (bounty + $25 tip!)";"";"0 Solutions";"$10";"Posted over 2 years ago";"";""
"Bountify | Feature modification/enhancement of Lamassu Server/Machine code (bounty + $75 tip)";"";"0 Solutions";"$25";"Posted over 2 years ago";"";""
"Bountify | Adding Multichain to lamassu-server and lamassu-machine source code";"";"0 Solutions";"$1";"Posted over 2 years ago";"";""
"Bountify | Modify setup/installation script (bash) to point to newest/latest version";"alixaxel";"3 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript bash node.js "
"Bountify | Looking for Some Serious Feedback";"CyteBode";"2 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript css html jQuery "
"Bountify | Bot for filling forms from messenger";"m8928";"1 Solution";"$50";"Posted over 2 years ago";"over 2 years ago";"java grpc bots "
"Bountify | CSS for rotating images and drop shadow like example";"farolanf";"2 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Adding Images With Style/No Style or Toggling Border/No Border";"farolanf";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery fabricjs "
"Bountify | Download from react sites with a list";"";"0 Solutions";"$25";"Posted  2 years ago";"";""
"Bountify | Convert this code into Python";"";"1 Solution";"$50";"Posted  2 years ago";"";"python image-processing opencv "
"Bountify | iMessage sticker app boilerplate with button to copy as WhatsApp sticker";"";"1 Solution";"$100";"Posted  2 years ago";"";"ios iOS iPhone iPad XCode imessage whatsapp "
"Bountify | Use PHP to delete file types in a directory and its sub directories";"";"2 Solutions";"$10";"Posted  2 years ago";"";"PHP "
"Bountify | Dynamically referencing GitHub Repo Info in WordPress CPT ($1 +$25 for Solution)";"Zhopon";"1 Solution";"$1";"Posted  2 years ago";"2 years ago";"PHP wordpress pods github "
"Bountify | Code snippets to have a certain checkbox checked by default and hidden";"";"2 Solutions";"$5";"Posted  2 years ago";"";"woocommerce form wordpress css checkbox "
"Bountify | PHP script Image merge";"CyteBode";"2 Solutions";"$10";"Posted  2 years ago";"2 years ago";"PHP php-gd "
"Bountify | PHP to generate XML file";"cueball";"1 Solution";"$5";"Posted  2 years ago";"2 years ago";"html PHP xml "
"Bountify | Add a Text Phone Number in Top Right Where Search Is Wordpress";"Chlegou";"2 Solutions";"$10";"Posted  2 years ago";"2 years ago";"html5 php html wordpress wordpress-theme wp-theme "
"Bountify | Implement this challenging layout in CSS - up to $75 bounty (incl. tip)";"AjiTae";"6 Solutions";"$10";"Posted  2 years ago";"2 years ago";"css html webdesign "
"Bountify | extracting data from web site using php";"Chlegou";"1 Solution";"$10";"Posted over 2 years ago";"2 years ago";"PHP "
"Bountify | Character count and element size via Javascript";"CyteBode";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Fix a file upload (Drop Zone) issue";"Chlegou";"2 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Walkthrough Setting Up Multiple Websites (Mainly WordPress ones) with SSL on AWS Lightsail";"Zhopon";"1 Solution";"$1";"Posted over 2 years ago";"over 2 years ago";"aws lightsail "
"Bountify | Modify a very simple old piece of AppleScript";"gabrielsimoes";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"automator mac-os-x applescript "
"Bountify | Instagram font tool - for choosing a font for instagram";"mashtullah";"2 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"jQuery bootstrap-3 "
"Bountify | Instagram font tool - for choosing a font for instagram";"gabrielsimoes";"2 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";"jQuery bootstrap-3 "
"Bountify | Blind signature library in python (or C)";"CyteBode";"1 Solution";"$100";"Posted over 2 years ago";"over 2 years ago";"cryptography "
"Bountify | Looking to extend small timer app with auto-save functionality | Bounty + $25";"farolanf";"2 Solutions";"$1";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery "
"Bountify | Batchload rename .docx file to the title of document. (+ tip)";"feroldi";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"ubuntu renaming-files "
"Bountify | Make children of flex div have same width (on per-column basis)";"Zhopon";"1 Solution";"$10";"Posted  2 years ago";"2 years ago";"css html flex "
"Bountify | Integrate Login and Search Field webpage to bubble.is backend";"";"1 Solution";"$25";"Posted  2 years ago";"";""
"Bountify | Powerpoint conversion";"";"0 Solutions";"$10";"Posted  2 years ago";"";"powerpoint conversion "
"Bountify | Simple PHP/MySQL/CSS Family Tree code";"remotedevske";"1 Solution";"$5";"Posted  2 years ago";"2 years ago";""
"Bountify | https://data.7msport.com/result web scraping";"";"0 Solutions";"$5";"Posted  2 years ago";"";"PHP scraping "
"Bountify | Small Wordpress CSS tweak";"BrianSantoso";"3 Solutions";"$1";"Posted  2 years ago";"2 years ago";"css wordpress "
"Bountify | Fix javascript to work on Safari, and iOS, etc.";"weslly";"1 Solution";"$10";"Posted  2 years ago";"2 years ago";"javascript "
"Bountify | Copy local files to a Samba share on Travis";"slr";"2 Solutions";"$5";"Posted  2 years ago";"2 years ago";"networking travis static-site-generator smb "
"Bountify | livescore18.com web scraping";"BrianSantoso";"1 Solution";"$5";"Posted  2 years ago";"2 years ago";"Web scrapping php "
"Bountify | lucksport web scraping work";"edwindrajaya";"1 Solution";"$10";"Posted  2 years ago";"2 years ago";"PHP web-scraping "
"Bountify | Convert line of code from PHP 5 to PHP 7";"SilverHood Apps";"1 Solution";"$1";"Posted  2 years ago";"2 years ago";"PHP php7 "
"Bountify | Scroll to reCAPTCHA element";"ahmedengu";"1 Solution";"$10";"Posted  2 years ago";"2 years ago";"form scroll google recaptcha form-validation "
"Bountify | Dynamic image request based on url";"";"5 Solutions";"$50";"Posted  2 years ago";"";"javascript "
"Bountify | Small Python script for file transfer ";"feroldi";"2 Solutions";"$50";"Posted  2 years ago";"2 years ago";"python firebase ftp "
"Bountify | Code to make site widget appear when button clicked (+ $5 tip!)";"Chlegou";"1 Solution";"$10";"Posted  2 years ago";"2 years ago";"shopify "
"Bountify | Need High Performance 3rd party Widget +100 tip and 3 winners";"Wuddrum";"3 Solutions";"$100";"Posted  2 years ago";"2 years ago";"javascript "
"Bountify | tipsterarea web site scraping using php";"Chlegou";"1 Solution";"$25";"Posted  2 years ago";"2 years ago";"PHP scraping "
"Bountify | How to create this image effect programatically?";"";"1 Solution";"$25";"Posted  2 years ago";"";"photoshop image-processing filter computational-photography "
"Bountify | Retrieve list of product URLs from BigCommerce site and document how you did it";"mohamed ibrahim";"3 Solutions";"$10";"Posted  2 years ago";"2 years ago";""
"Bountify | WordPress Theme Customizations ($1+$25 on delivery)";"Zhopon";"1 Solution";"$1";"Posted  2 years ago";"2 years ago";"css PHP wordpress "
"Bountify | Convert this JQuery script to vanilla Javascript";"BowersDev";"1 Solution";"$10";"Posted almost 2 years ago";"almost 2 years ago";"javascript jQuery "
"Bountify | Edit Microsoft Word simple macro";"mashtullah";"1 Solution";"$5";"Posted almost 2 years ago";"almost 2 years ago";"macro "
"Bountify | October CMS plugin to integrate rocket.chat live chat feature";"";"0 Solutions";"$25";"Posted almost 2 years ago";"";"php node.js octobercms rocketchat javascript PHP "
"Bountify | Code Review for Python code";"bounty_diver123";"1 Solution";"$1";"Posted almost 2 years ago";"almost 2 years ago";"python python3 review "
"Bountify | Proof of concept chart showing spelling (Sankey diagram?)";"Wuddrum";"2 Solutions";"$100";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | Microsoft-Word custom form";"mashtullah";"1 Solution";"$1";"Posted almost 2 years ago";"almost 2 years ago";"macros microsoft-word "
"Bountify | Microsoft-Word Macro to count words";"jwetzell";"1 Solution";"$5";"Posted almost 2 years ago";"almost 2 years ago";"macros microsoft-word "
"Bountify | Javascript highlight string/text match based on lookup table";"Wuddrum";"3 Solutions";"$100";"Posted almost 2 years ago";"almost 2 years ago";"javascript "
"Bountify | Small Microsoft Word macro";"Wuddrum";"2 Solutions";"$25";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | Auto Add Youtube Videos from subscribed Channels to specific playlists";"Prometheus";"1 Solution";"$25";"Posted almost 2 years ago";"almost 2 years ago";"youtube-api gmail-api auto-add google-script "
"Bountify | Lazy load Tracking js in iframe only when iframe is in view ";"Wuddrum";"2 Solutions";"$50";"Posted almost 2 years ago";"almost 2 years ago";"javascript "
"Bountify | Advice required only, no need for code: how to structure a right challenge and bounty - “Scraping of all product information using Python into CSV and JSON, and load into database” ";"Prometheus";"1 Solution";"$25";"Posted almost 2 years ago";"almost 2 years ago";"aws python Web scrapping amazon-s3 advice "
"Bountify | Improving WooCommerce's Product Add-Ons File Uploading";"Zhopon";"1 Solution";"$50";"Posted  2 years ago";"almost 2 years ago";"file upload wordpress woocommerce wordpress-plugin "
"Bountify | PHP Form reply address";"Wuddrum";"2 Solutions";"$25";"Posted  2 years ago";"2 years ago";"PHP form smtp "
"Bountify | Pop up page (like dribbble.com)";"kostasx";"1 Solution";"$25";"Posted  2 years ago";"2 years ago";"javascript html5 css3 "
"Bountify | Break watermark video protection";"Wuddrum";"4 Solutions";"$100";"Posted  2 years ago";"2 years ago";"watermark secure-video rmtpe video-streaming drm anti-piracy "
"Bountify | Building a web app around some existing code";"CyteBode";"1 Solution";"$100";"Posted  2 years ago";"2 years ago";""
"Bountify | Make CSS Grid Responsive";"chesedo";"1 Solution";"$25";"Posted  2 years ago";"2 years ago";"css responsive design grid "
"Bountify | forebet web scraping";"slang";"1 Solution";"$10";"Posted  2 years ago";"2 years ago";"PHP scraping "
"Bountify | CSS Consolidation + Suggestions (Bounty + $10)";"";"1 Solution";"$1";"Posted  2 years ago";"";"css rewrite feedback "
"Bountify | Firebase Proxy Setup";"SirYummy";"1 Solution";"$50";"Posted almost 2 years ago";"almost 2 years ago";"firebase nodejs "
"Bountify | Sample code to loop functions in R";"codecustard";"1 Solution";"$10";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | Sort border pixels of images by their order in the image";"CyteBode";"1 Solution";"$50";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | Code vulnerability challenge";"";"0 Solutions";"$10";"Posted almost 2 years ago";"";""
"Bountify | Ideas for an example of interview challenge for MEAN stack developer";"";"3 Solutions";"$100";"Posted almost 2 years ago";"";"mongodb javascript nodejs "
"Bountify | Holoview (BAD_COLUM_NAME) Link Error ";"drakmail";"1 Solution";"$10";"Posted almost 2 years ago";"almost 2 years ago";"python3 "
"Bountify | Python Holoview Object error";"Wuddrum";"1 Solution";"$25";"Posted almost 2 years ago";"almost 2 years ago";"python3 "
"Bountify | Create js widget for up and down voting. ";"Wuddrum";"3 Solutions";"$100";"Posted almost 2 years ago";"almost 2 years ago";"javascript "
"Bountify | Laravel 5.8 - Get translated Routes";"";"1 Solution";"$10";"Posted almost 2 years ago";"";"PHP laravel "
"Bountify | Fix react native menu component";"meo";"2 Solutions";"$25";"Posted almost 2 years ago";"almost 2 years ago";"javascript react-js react-native "
"Bountify | Chrome Extension Jump to a Directory of the Current Tab";"CyteBode";"1 Solution";"$10";"Posted almost 2 years ago";"almost 2 years ago";"chrome chrome-extension "
"Bountify | Create dynamic QR code in PDF form";"Wuddrum";"1 Solution";"$100";"Posted almost 2 years ago";"almost 2 years ago";"pdf "
"Bountify | iOS - make calls and get call state";"";"1 Solution";"$100";"Posted almost 2 years ago";"";"ios "
"Bountify | Create cool js visualization of data - radial histogram / circos";"Wuddrum";"2 Solutions";"$100";"Posted almost 2 years ago";"almost 2 years ago";"javascript data-visualization "
"Bountify | 50$ : Laravel 5.8 - Cannot share session nor cookies across domains that points to same application";"radosinsky";"1 Solution";"$10";"Posted almost 2 years ago";"almost 2 years ago";"laravel bilingual "
"Bountify | Need to setup a tracking script to work with our pixel tracker for our affiliate sites. ";"Wuddrum";"1 Solution";"$100";"Posted almost 2 years ago";"almost 2 years ago";"javascript "
"Bountify | Collapse list of words to get unique root spellings - javascript ";"Wuddrum";"4 Solutions";"$50";"Posted almost 2 years ago";"almost 2 years ago";"javascript "
"Bountify | Scraping of all product information using Python into CSV and JSON, and load into database";"mohamed ibrahim";"1 Solution";"$50";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | Change color of certain words in a text field";"mashtullah";"1 Solution";"$25";"Posted almost 2 years ago";"almost 2 years ago";"javascript pdf "
"Bountify | Save As Function PDF";"";"2 Solutions";"$50";"Posted almost 2 years ago";"";"javascript "
"Bountify | NGINX to filter out non matches to url pattern";"dekkard";"3 Solutions";"$50";"Posted over 1 year ago";"over 1 year ago";"nginx "
"Bountify | Implement comments & comment notifications into WooCommerce orders ($1 bounty + $50 on delivery)";"";"0 Solutions";"$1";"Posted over 1 year ago";"";"PHP wordpress woocommerce "
"Bountify | Moc UP  of K.O.T.D stands for kicks of the day ";"";"1 Solution";"$50";"Posted over 1 year ago";"";""
"Bountify | Python - geospatial vector problem";"CyteBode";"1 Solution";"$50";"Posted over 1 year ago";"over 1 year ago";"python "
"Bountify | Google App Script: Docs document to Jive Rest API document";"";"0 Solutions";"$50";"Posted over 1 year ago";"";"api google-script "
"Bountify | Ways to speed up our html viewer";"Wuddrum";"3 Solutions";"$100";"Posted over 1 year ago";"over 1 year ago";"javascript performance "
